AX: -0.80, AY: -0.62, AZ: -0.07, GX: -1828.00, GY: 331.00, GZ: 32767.00

AX: -0.57, AY: -0.39, AZ: -0.06, GX: -1826.00, GY: 327.00, GZ: 32767.00

AX: -0.34, AY: -0.29, AZ: -0.05, GX: -1830.00, GY: 325.00, GZ: 32767.00

AX: -0.04, AY: -0.23, AZ: -0.04, GX: -1825.00, GY: 323.00, GZ: 32767.00

AX: 0.22, AY: -0.28, AZ: -0.04, GX: -1828.00, GY: 324.00, GZ: 32767.00

AX: 0.48, AY: -0.42, AZ: -0.02, GX: -1827.00, GY: 316.00, GZ: 32767.00

AX: 0.70, AY: -0.57, AZ: -0.01, GX: -1816.00, GY: 323.00, GZ: 32767.00

AX: 0.87, AY: -0.82, AZ: -0.01, GX: -1812.00, GY: 323.00, GZ: 32767.00

AX: 0.97, AY: -1.09, AZ: -0.00, GX: -1812.00, GY: 322.00, GZ: 32767.00

AX: 1.02, AY: -1.38, AZ: -0.01, GX: -1813.00, GY: 330.00, GZ: 32767.00

AX: 0.91, AY: -1.65, AZ: -0.00, GX: -1812.00, GY: 328.00, GZ: 32767.00

AX: 0.80, AY: -1.89, AZ: -0.01, GX: -1818.00, GY: 332.00, GZ: 32767.00

AX: 0.60, AY: -2.07, AZ: -0.02, GX: -1815.00, GY: 333.00, GZ: 32767.00

AX: 0.34, AY: -2.18, AZ: -0.02, GX: -1815.00, GY: 339.00, GZ: 32767.00

AX: 0.08, AY: -2.22, AZ: -0.02, GX: -1816.00, GY: 336.00, GZ: 32767.00

AX: -0.21, AY: -2.21, AZ: -0.05, GX: -1827.00, GY: 330.00, GZ: 32767.00

AX: -0.47, AY: -2.11, AZ: -0.03, GX: -1830.00, GY: 339.00, GZ: 32767.00

AX: -0.71, AY: -1.92, AZ: -0.05, GX: -1823.00, GY: 341.00, GZ: 32767.00

AX: -0.86, AY: -1.69, AZ: -0.07, GX: -1827.00, GY: 328.00, GZ: 32767.00

AX: -0.96, AY: -1.42, AZ: -0.05, GX: -1824.00, GY: 332.00, GZ: 32767.00

AX: -1.05, AY: -1.14, AZ: -0.07, GX: -1829.00, GY: 327.00, GZ: 32767.00

AX: -0.96, AY: -0.86, AZ: -0.07, GX: -1821.00, GY: 321.00, GZ: 32767.00

AX: -0.81, AY: -0.63, AZ: -0.06, GX: -1829.00, GY: 336.00, GZ: 32767.00

AX: -0.64, AY: -0.45, AZ: -0.05, GX: -1832.00, GY: 327.00, GZ: 32767.00

AX: -0.40, AY: -0.31, AZ: -0.06, GX: -1832.00, GY: 327.00, GZ: 32767.00

AX: -0.12, AY: -0.24, AZ: -0.04, GX: -1828.00, GY: 322.00, GZ: 32767.00

AX: 0.14, AY: -0.27, AZ: -0.02, GX: -1824.00, GY: 320.00, GZ: 32767.00

AX: 0.44, AY: -0.37, AZ: -0.02, GX: -1820.00, GY: 316.00, GZ: 32767.00

AX: 0.65, AY: -0.53, AZ: -0.02, GX: -1816.00, GY: 328.00, GZ: 32767.00

AX: 0.85, AY: -0.77, AZ: -0.01, GX: -1819.00, GY: 321.00, GZ: 32767.00

AX: 0.97, AY: -1.02, AZ: -0.01, GX: -1817.00, GY: 326.00, GZ: 32767.00

AX: 0.99, AY: -1.32, AZ: -0.01, GX: -1818.00, GY: 327.00, GZ: 32767.00

