AX: 0.83, AY: -1.51, AZ: -0.00, GX: -1624.00, GY: 283.00, GZ: 32767.00

AX: 0.70, AY: -1.66, AZ: -0.01, GX: -1623.00, GY: 285.00, GZ: 32767.00

AX: 0.49, AY: -1.83, AZ: -0.02, GX: -1628.00, GY: 282.00, GZ: 32767.00

AX: 0.28, AY: -1.92, AZ: -0.01, GX: -1626.00, GY: 279.00, GZ: 32767.00

AX: 0.00, AY: -1.93, AZ: -0.03, GX: -1622.00, GY: 289.00, GZ: 32767.00

AX: -0.22, AY: -1.94, AZ: -0.04, GX: -1631.00, GY: 283.00, GZ: 32767.00

AX: -0.45, AY: -1.86, AZ: -0.04, GX: -1631.00, GY: 292.00, GZ: 32767.00

AX: -0.66, AY: -1.70, AZ: -0.06, GX: -1633.00, GY: 283.00, GZ: 32767.00

AX: -0.83, AY: -1.52, AZ: -0.04, GX: -1636.00, GY: 283.00, GZ: 32767.00

AX: -0.96, AY: -1.32, AZ: -0.08, GX: -1640.00, GY: 281.00, GZ: 32767.00

AX: -1.00, AY: -1.07, AZ: -0.05, GX: -1632.00, GY: 282.00, GZ: 32767.00

AX: -0.98, AY: -0.82, AZ: -0.07, GX: -1636.00, GY: 281.00, GZ: 32767.00

AX: -0.95, AY: -0.58, AZ: -0.07, GX: -1637.00, GY: 279.00, GZ: 32767.00

AX: -0.82, AY: -0.37, AZ: -0.06, GX: -1638.00, GY: 284.00, GZ: 32767.00

AX: -0.64, AY: -0.19, AZ: -0.06, GX: -1640.00, GY: 277.00, GZ: 32767.00

AX: -0.43, AY: -0.06, AZ: -0.05, GX: -1636.00, GY: 275.00, GZ: 32767.00

AX: -0.21, AY: 0.04, AZ: -0.04, GX: -1632.00, GY: 268.00, GZ: 32767.00

AX: 0.04, AY: 0.04, AZ: -0.05, GX: -1631.00, GY: 278.00, GZ: 32767.00

AX: 0.31, AY: -0.00, AZ: -0.03, GX: -1633.00, GY: 271.00, GZ: 32767.00

AX: 0.51, AY: -0.10, AZ: -0.02, GX: -1627.00, GY: 270.00, GZ: 32767.00

AX: 0.72, AY: -0.26, AZ: -0.02, GX: -1629.00, GY: 278.00, GZ: 32767.00

AX: 0.85, AY: -0.45, AZ: -0.01, GX: -1627.00, GY: 269.00, GZ: 32767.00

AX: 0.97, AY: -0.73, AZ: -0.02, GX: -1631.00, GY: 270.00, GZ: 32767.00

AX: 0.98, AY: -0.97, AZ: 0.00, GX: -1625.00, GY: 276.00, GZ: 32767.00

AX: 0.96, AY: -1.22, AZ: 0.00, GX: -1624.00, GY: 279.00, GZ: 32767.00

AX: 0.89, AY: -1.44, AZ: -0.00, GX: -1625.00, GY: 279.00, GZ: 32767.00

AX: 0.75, AY: -1.65, AZ: -0.01, GX: -1630.00, GY: 283.00, GZ: 32767.00

AX: 0.58, AY: -1.80, AZ: -0.01, GX: -1622.00, GY: 280.00, GZ: 32767.00

AX: 0.33, AY: -1.90, AZ: -0.02, GX: -1625.00, GY: 285.00, GZ: 32767.00

AX: 0.12, AY: -1.93, AZ: -0.02, GX: -1623.00, GY: 284.00, GZ: 32767.00

AX: -0.14, AY: -1.95, AZ: -0.05, GX: -1637.00, GY: 288.00, GZ: 32767.00

AX: -0.37, AY: -1.88, AZ: -0.05, GX: -1631.00, GY: 282.00, GZ: 32767.00

AX: -0.59, AY: -1.72, AZ: -0.04, GX: -1629.00, GY: 284.00, GZ: 32767.00

AX: -0.79, AY: -1.57, AZ: -0.07, GX: -1638.00, GY: 283.00, GZ: 32767.00

AX: -0.90, AY: -1.35, AZ: -0.04, GX: -1633.00, GY: 287.00, GZ: 32767.00

AX: -0.99, AY: -1.10, AZ: -0.07, GX: -1639.00, GY: 283.00, GZ: 32767.00

AX: -1.00, AY: -0.86, AZ: -0.06, GX: -1636.00, GY: 276.00, GZ: 32767.00

AX: -0.97, AY: -0.61, AZ: -0.07, GX: -1641.00, GY: 284.00, GZ: 32767.00

AX: -0.85, AY: -0.39, AZ: -0.06, GX: -1636.00, GY: 282.00, GZ: 32767.00

AX: -0.70, AY: -0.23, AZ: -0.06, GX: -1641.00, GY: 277.00, GZ: 32767.00

AX: -0.52, AY: -0.07, AZ: -0.05, GX: -1637.00, GY: 268.00, GZ: 32767.00

