AX: 0.34, AY: -2.08, AZ: -0.01, GX: -2593.00, GY: 560.00, GZ: 32767.00

AX: 0.70, AY: -2.38, AZ: 0.01, GX: -2594.00, GY: 566.00, GZ: 32767.00

AX: 0.89, AY: -2.78, AZ: 0.04, GX: -2594.00, GY: 569.00, GZ: 32767.00

AX: 0.90, AY: -3.19, AZ: -0.01, GX: -2588.00, GY: 570.00, GZ: 32767.00

AX: 0.81, AY: -3.58, AZ: -0.04, GX: -2587.00, GY: 579.00, GZ: 32767.00

AX: 0.50, AY: -3.89, AZ: -0.02, GX: -2599.00, GY: 585.00, GZ: 32767.00

AX: 0.04, AY: -3.98, AZ: -0.00, GX: -2594.00, GY: 578.00, GZ: 32767.00

AX: -0.39, AY: -3.89, AZ: -0.03, GX: -2592.00, GY: 576.00, GZ: 32767.00

AX: -0.70, AY: -3.63, AZ: -0.02, GX: -2590.00, GY: 583.00, GZ: 32767.00

AX: -0.96, AY: -3.27, AZ: -0.08, GX: -2606.00, GY: 584.00, GZ: 32767.00

AX: -1.07, AY: -2.85, AZ: -0.09, GX: -2614.00, GY: 572.00, GZ: 32767.00

AX: -0.96, AY: -2.43, AZ: -0.03, GX: -2612.00, GY: 574.00, GZ: 32767.00

AX: -0.63, AY: -2.14, AZ: -0.02, GX: -2604.00, GY: 570.00, GZ: 32767.00

AX: -0.26, AY: -1.99, AZ: -0.03, GX: -2606.00, GY: 564.00, GZ: 32767.00

AX: 0.16, AY: -2.05, AZ: -0.02, GX: -2603.00, GY: 561.00, GZ: 32767.00

AX: 0.55, AY: -2.24, AZ: -0.03, GX: -2585.00, GY: 556.00, GZ: 32767.00

AX: 0.87, AY: -2.61, AZ: -0.04, GX: -2596.00, GY: 565.00, GZ: 32767.00

AX: 0.98, AY: -3.06, AZ: 0.02, GX: -2599.00, GY: 579.00, GZ: 32767.00

AX: 0.83, AY: -3.45, AZ: 0.03, GX: -2579.00, GY: 577.00, GZ: 32767.00

AX: 0.59, AY: -3.77, AZ: -0.02, GX: -2581.00, GY: 579.00, GZ: 32767.00

AX: 0.24, AY: -3.96, AZ: -0.04, GX: -2588.00, GY: 587.00, GZ: 32767.00

AX: -0.22, AY: -3.97, AZ: -0.04, GX: -2607.00, GY: 590.00, GZ: 32767.00

AX: -0.65, AY: -3.77, AZ: -0.03, GX: -2609.00, GY: 574.00, GZ: 32767.00

AX: -0.92, AY: -3.43, AZ: -0.02, GX: -2607.00, GY: 573.00, GZ: 32767.00

AX: -1.03, AY: -2.99, AZ: -0.02, GX: -2608.00, GY: 582.00, GZ: 32767.00

AX: -1.00, AY: -2.55, AZ: -0.08, GX: -2609.00, GY: 575.00, GZ: 32767.00

AX: -0.78, AY: -2.23, AZ: -0.05, GX: -2606.00, GY: 567.00, GZ: 32767.00

AX: -0.41, AY: -2.02, AZ: -0.02, GX: -2593.00, GY: 568.00, GZ: 32767.00

AX: 0.04, AY: -2.00, AZ: -0.02, GX: -2593.00, GY: 564.00, GZ: 32767.00

AX: 0.44, AY: -2.18, AZ: -0.01, GX: -2598.00, GY: 559.00, GZ: 32767.00

AX: 0.72, AY: -2.49, AZ: -0.03, GX: -2594.00, GY: 556.00, GZ: 32767.00

AX: 0.92, AY: -2.88, AZ: -0.02, GX: -2591.00, GY: 568.00, GZ: 32767.00

AX: 0.94, AY: -3.31, AZ: 0.02, GX: -2590.00, GY: 582.00, GZ: 32767.00

AX: 0.73, AY: -3.71, AZ: 0.01, GX: -2591.00, GY: 578.00, GZ: 32767.00

AX: 0.33, AY: -3.92, AZ: -0.04, GX: -2588.00, GY: 577.00, GZ: 32767.00

AX: -0.06, AY: -3.96, AZ: -0.03, GX: -2586.00, GY: 589.00, GZ: 32767.00

AX: -0.45, AY: -3.84, AZ: -0.05, GX: -2596.00, GY: 590.00, GZ: 32767.00

AX: -0.91, AY: -3.56, AZ: -0.05, GX: -2615.00, GY: 580.00, GZ: 32767.00

AX: -1.05, AY: -3.17, AZ: -0.02, GX: -2612.00, GY: 571.00, GZ: 32767.00

AX: -1.00, AY: -2.72, AZ: -0.04, GX: -2614.00, GY: 577.00, GZ: 32767.00

AX: -0.81, AY: -2.34, AZ: -0.08, GX: -2615.00, GY: 573.00, GZ: 32767.00

AX: -0.49, AY: -2.07, AZ: -0.04, GX: -2609.00, GY: 565.00, GZ: 32767.00

AX: -0.04, AY: -1.98, AZ: -0.02, GX: -2592.00, GY: 560.00, GZ: 32767.00

AX: 0.40, AY: -2.07, AZ: -0.00, GX: -2593.00, GY: 564.00, GZ: 32767.00

AX: 0.72, AY: -2.35, AZ: 0.02, GX: -2597.00, GY: 570.00, GZ: 32767.00

AX: 0.88, AY: -2.76, AZ: 0.01, GX: -2598.00, GY: 564.00, GZ: 32767.00

AX: 0.92, AY: -3.17, AZ: -0.03, GX: -2584.00, GY: 570.00, GZ: 32767.00

AX: 0.79, AY: -3.57, AZ: -0.02, GX: -2593.00, GY: 579.00, GZ: 32767.00

AX: 0.41, AY: -3.86, AZ: 0.01, GX: -2594.00, GY: 579.00, GZ: 32767.00

AX: -0.03, AY: -3.99, AZ: -0.01, GX: -2591.00, GY: 581.00, GZ: 32767.00

AX: -0.40, AY: -3.92, AZ: -0.03, GX: -2590.00, GY: 576.00, GZ: 32767.00

AX: -0.75, AY: -3.66, AZ: -0.06, GX: -2595.00, GY: 585.00, GZ: 32767.00

AX: -1.01, AY: -3.30, AZ: -0.09, GX: -2605.00, GY: 579.00, GZ: 32767.00

AX: -1.08, AY: -2.87, AZ: -0.05, GX: -2614.00, GY: 572.00, GZ: 32767.00

AX: -0.90, AY: -2.46, AZ: -0.01, GX: -2607.00, GY: 573.00, GZ: 32767.00

AX: -0.60, AY: -2.15, AZ: -0.04, GX: -2604.00, GY: 573.00, GZ: 32767.00

AX: -0.22, AY: -2.01, AZ: -0.05, GX: -2613.00, GY: 570.00, GZ: 32767.00

AX: 0.22, AY: -2.04, AZ: -0.04, GX: -2597.00, GY: 557.00, GZ: 32767.00

AX: 0.63, AY: -2.24, AZ: -0.04, GX: -2589.00, GY: 560.00, GZ: 32767.00

AX: 0.91, AY: -2.58, AZ: 0.01, GX: -2593.00, GY: 565.00, GZ: 32767.00

AX: 0.92, AY: -3.02, AZ: 0.04, GX: -2590.00, GY: 576.00, GZ: 32767.00

AX: 0.80, AY: -3.44, AZ: -0.00, GX: -2585.00, GY: 576.00, GZ: 32767.00

AX: 0.57, AY: -3.75, AZ: -0.03, GX: -2583.00, GY: 583.00, GZ: 32767.00

AX: 0.18, AY: -3.95, AZ: -0.01, GX: -2592.00, GY: 595.00, GZ: 32767.00

AX: -0.29, AY: -3.97, AZ: -0.03, GX: -2603.00, GY: 579.00, GZ: 32767.00

AX: -0.69, AY: -3.71, AZ: -0.01, GX: -2606.00, GY: 577.00, GZ: 32767.00

AX: -0.91, AY: -3.37, AZ: -0.01, GX: -2605.00, GY: 576.00, GZ: 32767.00

AX: -1.03, AY: -2.93, AZ: -0.06, GX: -2612.00, GY: 581.00, GZ: 32767.00

AX: -0.99, AY: -2.51, AZ: -0.08, GX: -2617.00, GY: 573.00, GZ: 32767.00

AX: -0.74, AY: -2.19, AZ: -0.03, GX: -2603.00, GY: 564.00, GZ: 32767.00

AX: -0.34, AY: -2.00, AZ: -0.02, GX: -2598.00, GY: 564.00, GZ: 32767.00

AX: 0.10, AY: -2.03, AZ: -0.02, GX: -2602.00, GY: 561.00, GZ: 32767.00

AX: 0.46, AY: -2.21, AZ: -0.01, GX: -2600.00, GY: 561.00, GZ: 32767.00

AX: 0.77, AY: -2.52, AZ: -0.03, GX: -2594.00, GY: 557.00, GZ: 32767.00

AX: 0.95, AY: -2.93, AZ: -0.04, GX: -2589.00, GY: 568.00, GZ: 32767.00

AX: 0.93, AY: -3.39, AZ: -0.00, GX: -2598.00, GY: 577.00, GZ: 32767.00

AX: 0.65, AY: -3.73, AZ: 0.03, GX: -2581.00, GY: 578.00, GZ: 32767.00

AX: 0.29, AY: -3.92, AZ: -0.02, GX: -2579.00, GY: 583.00, GZ: 32767.00

AX: -0.09, AY: -3.96, AZ: -0.03, GX: -2587.00, GY: 591.00, GZ: 32767.00

AX: -0.52, AY: -3.82, AZ: -0.06, GX: -2603.00, GY: 589.00, GZ: 32767.00

AX: -0.89, AY: -3.53, AZ: -0.07, GX: -2614.00, GY: 579.00, GZ: 32767.00

AX: -1.06, AY: -3.09, AZ: -0.03, GX: -2602.00, GY: 575.00, GZ: 32767.00

AX: -1.01, AY: -2.66, AZ: -0.03, GX: -2612.00, GY: 580.00, GZ: 32767.00

AX: -0.83, AY: -2.30, AZ: -0.07, GX: -2613.00, GY: 574.00, GZ: 32767.00

AX: -0.52, AY: -2.05, AZ: -0.05, GX: -2608.00, GY: 570.00, GZ: 32767.00

AX: -0.07, AY: -1.98, AZ: -0.02, GX: -2591.00, GY: 563.00, GZ: 32767.00

AX: 0.37, AY: -2.10, AZ: -0.01, GX: -2590.00, GY: 561.00, GZ: 32767.00

AX: 0.72, AY: -2.41, AZ: 0.02, GX: -2602.00, GY: 567.00, GZ: 32767.00

AX: 0.87, AY: -2.79, AZ: 0.03, GX: -2583.00, GY: 566.00, GZ: 32767.00

AX: 0.91, AY: -3.23, AZ: -0.02, GX: -2589.00, GY: 574.00, GZ: 32767.00

AX: 0.80, AY: -3.62, AZ: 0.01, GX: -2594.00, GY: 581.00, GZ: 32767.00

AX: 0.45, AY: -3.90, AZ: 0.00, GX: -2600.00, GY: 584.00, GZ: 32767.00

AX: 0.01, AY: -3.98, AZ: -0.03, GX: -2588.00, GY: 579.00, GZ: 32767.00

AX: -0.40, AY: -3.87, AZ: -0.03, GX: -2587.00, GY: 578.00, GZ: 32767.00

AX: -0.72, AY: -3.62, AZ: -0.07, GX: -2599.00, GY: 584.00, GZ: 32767.00

AX: -0.98, AY: -3.24, AZ: -0.06, GX: -2607.00, GY: 582.00, GZ: 32767.00

AX: -1.08, AY: -2.82, AZ: -0.02, GX: -2611.00, GY: 576.00, GZ: 32767.00

AX: -0.92, AY: -2.43, AZ: -0.03, GX: -2611.00, GY: 572.00, GZ: 32767.00

AX: -0.62, AY: -2.12, AZ: -0.07, GX: -2609.00, GY: 576.00, GZ: 32767.00

AX: -0.22, AY: -2.00, AZ: -0.04, GX: -2606.00, GY: 562.00, GZ: 32767.00

AX: 0.19, AY: -2.05, AZ: -0.03, GX: -2597.00, GY: 557.00, GZ: 32767.00

AX: 0.68, AY: -2.27, AZ: -0.01, GX: -2594.00, GY: 561.00, GZ: 32767.00

AX: 0.90, AY: -2.64, AZ: 0.03, GX: -2594.00, GY: 570.00, GZ: 32767.00

AX: 0.91, AY: -3.09, AZ: 0.02, GX: -2592.00, GY: 573.00, GZ: 32767.00

AX: 0.80, AY: -3.49, AZ: -0.04, GX: -2582.00, GY: 572.00, GZ: 32767.00

AX: 0.53, AY: -3.79, AZ: -0.02, GX: -2587.00, GY: 589.00, GZ: 32767.00

