AX: -0.48, AY: -2.70, AZ: -0.05, GX: -2160.00, GY: 427.00, GZ: 32767.00

AX: -0.76, AY: -2.48, AZ: -0.05, GX: -2161.00, GY: 426.00, GZ: 32767.00

AX: -0.94, AY: -2.17, AZ: -0.04, GX: -2164.00, GY: 428.00, GZ: 32767.00

AX: -1.02, AY: -1.85, AZ: -0.05, GX: -2164.00, GY: 426.00, GZ: 32767.00

AX: -0.99, AY: -1.50, AZ: -0.06, GX: -2158.00, GY: 426.00, GZ: 32767.00

AX: -0.83, AY: -1.21, AZ: -0.06, GX: -2160.00, GY: 420.00, GZ: 32767.00

AX: -0.58, AY: -0.98, AZ: -0.04, GX: -2155.00, GY: 417.00, GZ: 32767.00

AX: -0.27, AY: -0.85, AZ: -0.05, GX: -2160.00, GY: 418.00, GZ: 32767.00

AX: 0.08, AY: -0.86, AZ: -0.04, GX: -2153.00, GY: 410.00, GZ: 32767.00

AX: 0.40, AY: -0.97, AZ: -0.02, GX: -2154.00, GY: 412.00, GZ: 32767.00

AX: 0.69, AY: -1.20, AZ: -0.02, GX: -2152.00, GY: 412.00, GZ: 32767.00

AX: 0.87, AY: -1.48, AZ: 0.00, GX: -2147.00, GY: 420.00, GZ: 32767.00

AX: 0.97, AY: -1.82, AZ: 0.00, GX: -2144.00, GY: 416.00, GZ: 32767.00

AX: 0.94, AY: -2.15, AZ: 0.00, GX: -2147.00, GY: 418.00, GZ: 32767.00

AX: 0.81, AY: -2.47, AZ: 0.01, GX: -2148.00, GY: 428.00, GZ: 32767.00

AX: 0.58, AY: -2.67, AZ: -0.00, GX: -2141.00, GY: 427.00, GZ: 32767.00

AX: 0.28, AY: -2.82, AZ: -0.01, GX: -2143.00, GY: 430.00, GZ: 32767.00

AX: -0.08, AY: -2.83, AZ: -0.04, GX: -2143.00, GY: 429.00, GZ: 32767.00

AX: -0.41, AY: -2.73, AZ: -0.03, GX: -2147.00, GY: 433.00, GZ: 32767.00

AX: -0.68, AY: -2.54, AZ: -0.04, GX: -2155.00, GY: 430.00, GZ: 32767.00

AX: -0.90, AY: -2.24, AZ: -0.06, GX: -2153.00, GY: 427.00, GZ: 32767.00

AX: -1.00, AY: -1.92, AZ: -0.07, GX: -2163.00, GY: 416.00, GZ: 32767.00

AX: -0.99, AY: -1.56, AZ: -0.07, GX: -2157.00, GY: 421.00, GZ: 32767.00

AX: -0.86, AY: -1.26, AZ: -0.07, GX: -2155.00, GY: 417.00, GZ: 32767.00

AX: -0.64, AY: -1.02, AZ: -0.06, GX: -2152.00, GY: 419.00, GZ: 32767.00

AX: -0.33, AY: -0.87, AZ: -0.05, GX: -2159.00, GY: 413.00, GZ: 32767.00

AX: 0.03, AY: -0.85, AZ: -0.03, GX: -2156.00, GY: 407.00, GZ: 32767.00

AX: 0.34, AY: -0.92, AZ: -0.02, GX: -2153.00, GY: 411.00, GZ: 32767.00

AX: 0.65, AY: -1.13, AZ: -0.01, GX: -2152.00, GY: 406.00, GZ: 32767.00

AX: 0.87, AY: -1.40, AZ: -0.01, GX: -2151.00, GY: 413.00, GZ: 32767.00

AX: 0.99, AY: -1.72, AZ: 0.01, GX: -2145.00, GY: 416.00, GZ: 32767.00

AX: 0.97, AY: -2.06, AZ: 0.01, GX: -2141.00, GY: 427.00, GZ: 32767.00

AX: 0.85, AY: -2.38, AZ: 0.00, GX: -2147.00, GY: 423.00, GZ: 32767.00

AX: 0.64, AY: -2.62, AZ: 0.00, GX: -2134.00, GY: 427.00, GZ: 32767.00

AX: 0.35, AY: -2.78, AZ: -0.02, GX: -2144.00, GY: 425.00, GZ: 32767.00

AX: 0.02, AY: -2.84, AZ: -0.02, GX: -2149.00, GY: 428.00, GZ: 32767.00

AX: -0.32, AY: -2.76, AZ: -0.03, GX: -2152.00, GY: 429.00, GZ: 32767.00

AX: -0.68, AY: -2.58, AZ: -0.04, GX: -2154.00, GY: 430.00, GZ: 32767.00

AX: -0.90, AY: -2.32, AZ: -0.05, GX: -2152.00, GY: 426.00, GZ: 32767.00

AX: -1.00, AY: -2.01, AZ: -0.06, GX: -2164.00, GY: 420.00, GZ: 32767.00

AX: -0.99, AY: -1.65, AZ: -0.06, GX: -2162.00, GY: 426.00, GZ: 32767.00

AX: -0.87, AY: -1.33, AZ: -0.06, GX: -2165.00, GY: 422.00, GZ: 32767.00

AX: -0.65, AY: -1.07, AZ: -0.06, GX: -2163.00, GY: 419.00, GZ: 32767.00

AX: -0.34, AY: -0.89, AZ: -0.05, GX: -2155.00, GY: 411.00, GZ: 32767.00

AX: 0.01, AY: -0.85, AZ: -0.03, GX: -2155.00, GY: 410.00, GZ: 32767.00

AX: 0.33, AY: -0.90, AZ: -0.02, GX: -2148.00, GY: 412.00, GZ: 32767.00

AX: 0.65, AY: -1.07, AZ: -0.02, GX: -2146.00, GY: 406.00, GZ: 32767.00

AX: 0.86, AY: -1.33, AZ: -0.01, GX: -2142.00, GY: 414.00, GZ: 32767.00

AX: 0.99, AY: -1.65, AZ: -0.01, GX: -2140.00, GY: 419.00, GZ: 32767.00

AX: 0.98, AY: -2.00, AZ: -0.01, GX: -2141.00, GY: 423.00, GZ: 32767.00

AX: 0.86, AY: -2.32, AZ: -0.00, GX: -2147.00, GY: 422.00, GZ: 32767.00

AX: 0.66, AY: -2.58, AZ: -0.01, GX: -2141.00, GY: 424.00, GZ: 32767.00

AX: 0.36, AY: -2.76, AZ: -0.02, GX: -2141.00, GY: 425.00, GZ: 32767.00

AX: 0.03, AY: -2.84, AZ: -0.02, GX: -2146.00, GY: 430.00, GZ: 32767.00

AX: -0.31, AY: -2.78, AZ: -0.02, GX: -2148.00, GY: 422.00, GZ: 32767.00

AX: -0.62, AY: -2.64, AZ: -0.03, GX: -2154.00, GY: 426.00, GZ: 32767.00

AX: -0.86, AY: -2.38, AZ: -0.04, GX: -2155.00, GY: 427.00, GZ: 32767.00

AX: -0.99, AY: -2.08, AZ: -0.05, GX: -2165.00, GY: 417.00, GZ: 32767.00

AX: -1.03, AY: -1.73, AZ: -0.05, GX: -2164.00, GY: 420.00, GZ: 32767.00

AX: -0.93, AY: -1.39, AZ: -0.05, GX: -2162.00, GY: 420.00, GZ: 32767.00

AX: -0.72, AY: -1.12, AZ: -0.05, GX: -2159.00, GY: 416.00, GZ: 32767.00

AX: -0.43, AY: -0.93, AZ: -0.05, GX: -2152.00, GY: 411.00, GZ: 32767.00

AX: -0.11, AY: -0.85, AZ: -0.03, GX: -2157.00, GY: 411.00, GZ: 32767.00

AX: 0.22, AY: -0.87, AZ: -0.03, GX: -2155.00, GY: 412.00, GZ: 32767.00

AX: 0.56, AY: -1.08, AZ: -0.02, GX: -2156.00, GY: 407.00, GZ: 32767.00

AX: 0.78, AY: -1.32, AZ: -0.01, GX: -2149.00, GY: 413.00, GZ: 32767.00

AX: 0.94, AY: -1.64, AZ: -0.00, GX: -2149.00, GY: 415.00, GZ: 32767.00

AX: 0.97, AY: -1.99, AZ: -0.00, GX: -2148.00, GY: 415.00, GZ: 32767.00

AX: 0.89, AY: -2.29, AZ: 0.00, GX: -2149.00, GY: 426.00, GZ: 32767.00

AX: 0.71, AY: -2.58, AZ: -0.01, GX: -2145.00, GY: 423.00, GZ: 32767.00

AX: 0.42, AY: -2.76, AZ: -0.01, GX: -2143.00, GY: 434.00, GZ: 32767.00

AX: 0.11, AY: -2.84, AZ: -0.03, GX: -2145.00, GY: 430.00, GZ: 32767.00

AX: -0.24, AY: -2.79, AZ: -0.04, GX: -2145.00, GY: 426.00, GZ: 32767.00

AX: -0.55, AY: -2.64, AZ: -0.05, GX: -2151.00, GY: 426.00, GZ: 32767.00

AX: -0.81, AY: -2.40, AZ: -0.06, GX: -2153.00, GY: 423.00, GZ: 32767.00

AX: -0.97, AY: -2.08, AZ: -0.07, GX: -2158.00, GY: 419.00, GZ: 32767.00

AX: -1.02, AY: -1.74, AZ: -0.07, GX: -2153.00, GY: 424.00, GZ: 32767.00

AX: -0.95, AY: -1.40, AZ: -0.07, GX: -2153.00, GY: 420.00, GZ: 32767.00

AX: -0.78, AY: -1.14, AZ: -0.06, GX: -2158.00, GY: 421.00, GZ: 32767.00

AX: -0.50, AY: -0.93, AZ: -0.06, GX: -2153.00, GY: 411.00, GZ: 32767.00

AX: -0.18, AY: -0.85, AZ: -0.04, GX: -2157.00, GY: 408.00, GZ: 32767.00

