AX: 0.42, AY: 0.89, AZ: -0.03, GX: -290.00, GY: -19.00, GZ: 3031.00

AX: 0.44, AY: 0.88, AZ: -0.03, GX: -295.00, GY: -22.00, GZ: 3028.00

AX: 0.46, AY: 0.87, AZ: -0.02, GX: -300.00, GY: -21.00, GZ: 3029.00

AX: 0.47, AY: 0.87, AZ: -0.03, GX: -297.00, GY: -19.00, GZ: 3027.00

AX: 0.49, AY: 0.86, AZ: -0.02, GX: -298.00, GY: -19.00, GZ: 3025.00

AX: 0.50, AY: 0.86, AZ: -0.03, GX: -293.00, GY: -21.00, GZ: 3022.00

AX: 0.51, AY: 0.85, AZ: -0.02, GX: -297.00, GY: -17.00, GZ: 3015.00

AX: 0.52, AY: 0.84, AZ: -0.04, GX: -300.00, GY: -18.00, GZ: 3014.00

AX: 0.54, AY: 0.83, AZ: -0.03, GX: -294.00, GY: -15.00, GZ: 3008.00

AX: 0.56, AY: 0.82, AZ: -0.02, GX: -290.00, GY: -20.00, GZ: 3005.00

AX: 0.56, AY: 0.81, AZ: -0.03, GX: -294.00, GY: -23.00, GZ: 3002.00

AX: 0.58, AY: 0.80, AZ: -0.03, GX: -291.00, GY: -16.00, GZ: 3004.00

AX: 0.59, AY: 0.79, AZ: -0.02, GX: -296.00, GY: -20.00, GZ: 3005.00

AX: 0.61, AY: 0.78, AZ: -0.02, GX: -294.00, GY: -21.00, GZ: 3008.00

AX: 0.61, AY: 0.77, AZ: -0.02, GX: -300.00, GY: -18.00, GZ: 3013.00

AX: 0.63, AY: 0.76, AZ: -0.02, GX: -294.00, GY: -18.00, GZ: 3014.00

AX: 0.64, AY: 0.75, AZ: -0.02, GX: -295.00, GY: -21.00, GZ: 3004.00

AX: 0.66, AY: 0.74, AZ: -0.02, GX: -296.00, GY: -20.00, GZ: 2999.00

AX: 0.67, AY: 0.73, AZ: -0.02, GX: -295.00, GY: -23.00, GZ: 2998.00

AX: 0.69, AY: 0.72, AZ: -0.02, GX: -292.00, GY: -20.00, GZ: 2986.00

AX: 0.69, AY: 0.71, AZ: -0.02, GX: -294.00, GY: -17.00, GZ: 2987.00

AX: 0.71, AY: 0.70, AZ: -0.02, GX: -291.00, GY: -20.00, GZ: 2984.00

AX: 0.71, AY: 0.69, AZ: -0.02, GX: -290.00, GY: -16.00, GZ: 2984.00

AX: 0.73, AY: 0.68, AZ: -0.03, GX: -293.00, GY: -19.00, GZ: 2979.00

AX: 0.73, AY: 0.66, AZ: -0.01, GX: -293.00, GY: -17.00, GZ: 2977.00

AX: 0.75, AY: 0.65, AZ: -0.02, GX: -290.00, GY: -22.00, GZ: 2974.00

AX: 0.75, AY: 0.64, AZ: -0.02, GX: -293.00, GY: -21.00, GZ: 2973.00

AX: 0.77, AY: 0.63, AZ: -0.02, GX: -292.00, GY: -20.00, GZ: 2967.00

AX: 0.78, AY: 0.61, AZ: -0.02, GX: -290.00, GY: -17.00, GZ: 2964.00

AX: 0.79, AY: 0.60, AZ: -0.02, GX: -294.00, GY: -20.00, GZ: 2957.00

AX: 0.79, AY: 0.59, AZ: -0.01, GX: -291.00, GY: -19.00, GZ: 2954.00

AX: 0.80, AY: 0.58, AZ: -0.03, GX: -287.00, GY: -23.00, GZ: 2951.00

AX: 0.81, AY: 0.56, AZ: -0.01, GX: -295.00, GY: -19.00, GZ: 2949.00

AX: 0.82, AY: 0.54, AZ: -0.01, GX: -295.00, GY: -20.00, GZ: 2956.00

AX: 0.82, AY: 0.53, AZ: -0.01, GX: -289.00, GY: -20.00, GZ: 2965.00

AX: 0.84, AY: 0.52, AZ: -0.02, GX: -294.00, GY: -22.00, GZ: 2969.00

AX: 0.84, AY: 0.51, AZ: -0.01, GX: -291.00, GY: -19.00, GZ: 2976.00

AX: 0.85, AY: 0.50, AZ: -0.01, GX: -290.00, GY: -18.00, GZ: 2972.00

AX: 0.86, AY: 0.48, AZ: -0.01, GX: -290.00, GY: -18.00, GZ: 2973.00

AX: 0.87, AY: 0.47, AZ: -0.02, GX: -292.00, GY: -19.00, GZ: 2967.00

AX: 0.88, AY: 0.45, AZ: -0.01, GX: -293.00, GY: -19.00, GZ: 2962.00

AX: 0.89, AY: 0.44, AZ: -0.02, GX: -293.00, GY: -19.00, GZ: 2956.00

AX: 0.88, AY: 0.43, AZ: -0.01, GX: -294.00, GY: -15.00, GZ: 2953.00

AX: 0.90, AY: 0.41, AZ: -0.01, GX: -292.00, GY: -21.00, GZ: 2951.00

AX: 0.90, AY: 0.40, AZ: -0.01, GX: -298.00, GY: -16.00, GZ: 2946.00

AX: 0.91, AY: 0.38, AZ: -0.01, GX: -292.00, GY: -22.00, GZ: 2943.00

AX: 0.91, AY: 0.37, AZ: -0.01, GX: -294.00, GY: -16.00, GZ: 2939.00

AX: 0.93, AY: 0.36, AZ: -0.02, GX: -288.00, GY: -19.00, GZ: 2936.00

AX: 0.93, AY: 0.34, AZ: -0.01, GX: -291.00, GY: -15.00, GZ: 2929.00

AX: 0.93, AY: 0.32, AZ: -0.01, GX: -287.00, GY: -25.00, GZ: 2927.00

AX: 0.93, AY: 0.31, AZ: -0.01, GX: -290.00, GY: -18.00, GZ: 2914.00

AX: 0.95, AY: 0.30, AZ: -0.01, GX: -292.00, GY: -21.00, GZ: 2909.00

AX: 0.94, AY: 0.27, AZ: -0.01, GX: -291.00, GY: -19.00, GZ: 2902.00

AX: 0.96, AY: 0.26, AZ: -0.01, GX: -292.00, GY: -22.00, GZ: 2898.00

AX: 0.95, AY: 0.25, AZ: -0.02, GX: -292.00, GY: -15.00, GZ: 2898.00

AX: 0.97, AY: 0.24, AZ: -0.02, GX: -293.00, GY: -23.00, GZ: 2905.00

AX: 0.96, AY: 0.22, AZ: -0.01, GX: -290.00, GY: -19.00, GZ: 2908.00

AX: 0.97, AY: 0.21, AZ: -0.02, GX: -291.00, GY: -24.00, GZ: 2914.00

AX: 0.96, AY: 0.20, AZ: -0.01, GX: -292.00, GY: -16.00, GZ: 2921.00

AX: 0.98, AY: 0.18, AZ: -0.02, GX: -288.00, GY: -20.00, GZ: 2922.00

