AX: -0.37, AY: 0.40, AZ: -0.05, GX: -1301.00, GY: 194.00, GZ: 32767.00

AX: -0.20, AY: 0.42, AZ: -0.04, GX: -1302.00, GY: 193.00, GZ: 32767.00

AX: -0.01, AY: 0.47, AZ: -0.05, GX: -1298.00, GY: 198.00, GZ: 32767.00

AX: 0.18, AY: 0.40, AZ: -0.02, GX: -1302.00, GY: 188.00, GZ: 32767.00

AX: 0.35, AY: 0.38, AZ: -0.02, GX: -1289.00, GY: 201.00, GZ: 32767.00

AX: 0.54, AY: 0.25, AZ: -0.02, GX: -1304.00, GY: 192.00, GZ: 32767.00

AX: 0.66, AY: 0.17, AZ: -0.02, GX: -1290.00, GY: 198.00, GZ: 32767.00

AX: 0.79, AY: -0.02, AZ: -0.01, GX: -1303.00, GY: 195.00, GZ: 32767.00

AX: 0.87, AY: -0.15, AZ: -0.01, GX: -1291.00, GY: 194.00, GZ: 32767.00

AX: 0.95, AY: -0.35, AZ: -0.01, GX: -1298.00, GY: 200.00, GZ: 32767.00

AX: 0.98, AY: -0.51, AZ: -0.01, GX: -1291.00, GY: 189.00, GZ: 32767.00

AX: 0.98, AY: -0.71, AZ: -0.01, GX: -1295.00, GY: 205.00, GZ: 32767.00

AX: 0.97, AY: -0.89, AZ: -0.01, GX: -1294.00, GY: 195.00, GZ: 32767.00

AX: 0.85, AY: -1.06, AZ: -0.00, GX: -1292.00, GY: 203.00, GZ: 32767.00

AX: 0.80, AY: -1.21, AZ: -0.02, GX: -1297.00, GY: 197.00, GZ: 32767.00

AX: 0.62, AY: -1.34, AZ: -0.02, GX: -1289.00, GY: 200.00, GZ: 32767.00

AX: 0.49, AY: -1.44, AZ: -0.02, GX: -1296.00, GY: 199.00, GZ: 32767.00

AX: 0.30, AY: -1.53, AZ: -0.03, GX: -1299.00, GY: 199.00, GZ: 32767.00

AX: 0.12, AY: -1.54, AZ: -0.03, GX: -1292.00, GY: 205.00, GZ: 32767.00

AX: -0.06, AY: -1.58, AZ: -0.04, GX: -1306.00, GY: 200.00, GZ: 32767.00

AX: -0.27, AY: -1.50, AZ: -0.04, GX: -1291.00, GY: 206.00, GZ: 32767.00

AX: -0.43, AY: -1.46, AZ: -0.05, GX: -1309.00, GY: 202.00, GZ: 32767.00

AX: -0.59, AY: -1.33, AZ: -0.03, GX: -1292.00, GY: 200.00, GZ: 32767.00

AX: -0.75, AY: -1.22, AZ: -0.05, GX: -1309.00, GY: 201.00, GZ: 32767.00

AX: -0.83, AY: -1.05, AZ: -0.04, GX: -1291.00, GY: 198.00, GZ: 32767.00

