AX: 0.91, AY: 0.16, AZ: -0.01, GX: -927.00, GY: 111.00, GZ: 23643.00

AX: 0.96, AY: 0.02, AZ: -0.01, GX: -928.00, GY: 112.00, GZ: 23639.00

AX: 0.96, AY: -0.09, AZ: -0.01, GX: -931.00, GY: 119.00, GZ: 23643.00

AX: 1.00, AY: -0.21, AZ: -0.01, GX: -929.00, GY: 114.00, GZ: 23637.00

AX: 0.98, AY: -0.35, AZ: -0.00, GX: -929.00, GY: 114.00, GZ: 23646.00

AX: 0.97, AY: -0.48, AZ: -0.00, GX: -936.00, GY: 110.00, GZ: 23645.00

AX: 0.92, AY: -0.57, AZ: 0.00, GX: -926.00, GY: 117.00, GZ: 23640.00

AX: 0.88, AY: -0.71, AZ: -0.01, GX: -928.00, GY: 119.00, GZ: 23650.00

AX: 0.82, AY: -0.81, AZ: -0.02, GX: -934.00, GY: 114.00, GZ: 23651.00

AX: 0.75, AY: -0.91, AZ: -0.01, GX: -930.00, GY: 113.00, GZ: 23651.00

AX: 0.64, AY: -1.00, AZ: -0.02, GX: -930.00, GY: 119.00, GZ: 23651.00

AX: 0.56, AY: -1.06, AZ: -0.01, GX: -931.00, GY: 116.00, GZ: 23660.00

AX: 0.46, AY: -1.14, AZ: -0.02, GX: -932.00, GY: 114.00, GZ: 23658.00

AX: 0.31, AY: -1.20, AZ: -0.03, GX: -937.00, GY: 124.00, GZ: 23663.00

AX: 0.22, AY: -1.20, AZ: -0.02, GX: -926.00, GY: 113.00, GZ: 23669.00

AX: 0.08, AY: -1.24, AZ: -0.03, GX: -935.00, GY: 118.00, GZ: 23668.00

AX: -0.05, AY: -1.27, AZ: -0.04, GX: -943.00, GY: 122.00, GZ: 23676.00

AX: -0.16, AY: -1.22, AZ: -0.04, GX: -936.00, GY: 117.00, GZ: 23662.00

AX: -0.29, AY: -1.21, AZ: -0.04, GX: -935.00, GY: 114.00, GZ: 23675.00

AX: -0.41, AY: -1.18, AZ: -0.06, GX: -936.00, GY: 118.00, GZ: 23679.00

AX: -0.51, AY: -1.11, AZ: -0.04, GX: -937.00, GY: 117.00, GZ: 23671.00

AX: -0.63, AY: -1.02, AZ: -0.05, GX: -930.00, GY: 120.00, GZ: 23677.00

AX: -0.71, AY: -0.96, AZ: -0.05, GX: -935.00, GY: 115.00, GZ: 23677.00

AX: -0.80, AY: -0.87, AZ: -0.06, GX: -943.00, GY: 121.00, GZ: 23664.00

AX: -0.86, AY: -0.74, AZ: -0.06, GX: -931.00, GY: 120.00, GZ: 23672.00

AX: -0.92, AY: -0.61, AZ: -0.06, GX: -936.00, GY: 117.00, GZ: 23665.00

AX: -0.96, AY: -0.50, AZ: -0.07, GX: -941.00, GY: 115.00, GZ: 23662.00

AX: -1.00, AY: -0.38, AZ: -0.07, GX: -941.00, GY: 124.00, GZ: 23660.00

AX: -0.99, AY: -0.26, AZ: -0.06, GX: -936.00, GY: 117.00, GZ: 23663.00

AX: -1.01, AY: -0.12, AZ: -0.06, GX: -938.00, GY: 117.00, GZ: 23667.00

AX: -0.99, AY: -0.02, AZ: -0.07, GX: -942.00, GY: 111.00, GZ: 23664.00

AX: -0.96, AY: 0.11, AZ: -0.07, GX: -941.00, GY: 118.00, GZ: 23659.00

AX: -0.88, AY: 0.24, AZ: -0.07, GX: -935.00, GY: 111.00, GZ: 23670.00

AX: -0.85, AY: 0.34, AZ: -0.07, GX: -935.00, GY: 114.00, GZ: 23666.00

AX: -0.76, AY: 0.43, AZ: -0.07, GX: -940.00, GY: 114.00, GZ: 23672.00

AX: -0.65, AY: 0.53, AZ: -0.05, GX: -936.00, GY: 115.00, GZ: 23675.00

AX: -0.57, AY: 0.59, AZ: -0.06, GX: -942.00, GY: 115.00, GZ: 23674.00

AX: -0.46, AY: 0.66, AZ: -0.05, GX: -939.00, GY: 106.00, GZ: 23681.00

AX: -0.34, AY: 0.71, AZ: -0.05, GX: -936.00, GY: 113.00, GZ: 23684.00

AX: -0.23, AY: 0.73, AZ: -0.05, GX: -938.00, GY: 116.00, GZ: 23686.00

AX: -0.10, AY: 0.75, AZ: -0.04, GX: -936.00, GY: 110.00, GZ: 23694.00

AX: 0.02, AY: 0.75, AZ: -0.04, GX: -935.00, GY: 108.00, GZ: 23694.00

AX: 0.14, AY: 0.73, AZ: -0.04, GX: -936.00, GY: 115.00, GZ: 23693.00

AX: 0.28, AY: 0.71, AZ: -0.03, GX: -934.00, GY: 104.00, GZ: 23693.00

AX: 0.37, AY: 0.67, AZ: -0.04, GX: -935.00, GY: 110.00, GZ: 23695.00

AX: 0.49, AY: 0.60, AZ: -0.03, GX: -934.00, GY: 111.00, GZ: 23699.00

AX: 0.62, AY: 0.52, AZ: -0.03, GX: -935.00, GY: 110.00, GZ: 23700.00

AX: 0.71, AY: 0.46, AZ: -0.02, GX: -925.00, GY: 107.00, GZ: 23699.00

AX: 0.78, AY: 0.35, AZ: -0.01, GX: -931.00, GY: 117.00, GZ: 23696.00

AX: 0.87, AY: 0.23, AZ: -0.01, GX: -936.00, GY: 110.00, GZ: 23691.00

AX: 0.91, AY: 0.14, AZ: -0.01, GX: -928.00, GY: 113.00, GZ: 23696.00

AX: 0.96, AY: -0.01, AZ: -0.01, GX: -930.00, GY: 112.00, GZ: 23693.00

AX: 0.96, AY: -0.11, AZ: -0.01, GX: -935.00, GY: 113.00, GZ: 23693.00

AX: 0.99, AY: -0.23, AZ: -0.01, GX: -928.00, GY: 109.00, GZ: 23693.00

AX: 0.98, AY: -0.38, AZ: -0.01, GX: -932.00, GY: 115.00, GZ: 23693.00

AX: 0.97, AY: -0.49, AZ: 0.00, GX: -928.00, GY: 108.00, GZ: 23692.00

AX: 0.92, AY: -0.60, AZ: -0.00, GX: -925.00, GY: 114.00, GZ: 23694.00

AX: 0.86, AY: -0.74, AZ: -0.01, GX: -936.00, GY: 121.00, GZ: 23695.00

AX: 0.82, AY: -0.83, AZ: -0.00, GX: -933.00, GY: 114.00, GZ: 23703.00

AX: 0.73, AY: -0.93, AZ: -0.01, GX: -932.00, GY: 115.00, GZ: 23696.00

AX: 0.62, AY: -1.02, AZ: -0.02, GX: -938.00, GY: 120.00, GZ: 23693.00

AX: 0.53, AY: -1.08, AZ: -0.01, GX: -931.00, GY: 119.00, GZ: 23698.00

AX: 0.43, AY: -1.15, AZ: -0.02, GX: -934.00, GY: 117.00, GZ: 23696.00

AX: 0.29, AY: -1.21, AZ: -0.03, GX: -939.00, GY: 125.00, GZ: 23701.00

AX: 0.20, AY: -1.22, AZ: -0.03, GX: -924.00, GY: 117.00, GZ: 23696.00

AX: 0.04, AY: -1.24, AZ: -0.03, GX: -924.00, GY: 120.00, GZ: 23700.00

AX: -0.07, AY: -1.27, AZ: -0.04, GX: -945.00, GY: 121.00, GZ: 23689.00

AX: -0.19, AY: -1.23, AZ: -0.03, GX: -934.00, GY: 112.00, GZ: 23696.00

AX: -0.31, AY: -1.19, AZ: -0.03, GX: -932.00, GY: 118.00, GZ: 23698.00

AX: -0.43, AY: -1.16, AZ: -0.04, GX: -936.00, GY: 116.00, GZ: 23704.00

AX: -0.53, AY: -1.11, AZ: -0.05, GX: -938.00, GY: 119.00, GZ: 23696.00

AX: -0.65, AY: -1.00, AZ: -0.05, GX: -932.00, GY: 125.00, GZ: 23696.00

AX: -0.71, AY: -0.93, AZ: -0.05, GX: -936.00, GY: 112.00, GZ: 23692.00

AX: -0.83, AY: -0.84, AZ: -0.06, GX: -934.00, GY: 123.00, GZ: 23695.00

AX: -0.88, AY: -0.73, AZ: -0.06, GX: -935.00, GY: 119.00, GZ: 23687.00

AX: -0.93, AY: -0.62, AZ: -0.07, GX: -935.00, GY: 118.00, GZ: 23688.00

AX: -0.98, AY: -0.50, AZ: -0.07, GX: -944.00, GY: 116.00, GZ: 23685.00

AX: -1.02, AY: -0.38, AZ: -0.07, GX: -936.00, GY: 119.00, GZ: 23689.00

AX: -1.00, AY: -0.26, AZ: -0.07, GX: -940.00, GY: 120.00, GZ: 23687.00

AX: -1.00, AY: -0.09, AZ: -0.06, GX: -940.00, GY: 118.00, GZ: 23695.00

AX: -0.98, AY: 0.01, AZ: -0.07, GX: -942.00, GY: 115.00, GZ: 23692.00

AX: -0.95, AY: 0.14, AZ: -0.07, GX: -941.00, GY: 120.00, GZ: 23697.00

AX: -0.87, AY: 0.26, AZ: -0.06, GX: -934.00, GY: 113.00, GZ: 23698.00

AX: -0.82, AY: 0.35, AZ: -0.07, GX: -941.00, GY: 111.00, GZ: 23696.00

AX: -0.74, AY: 0.45, AZ: -0.07, GX: -941.00, GY: 115.00, GZ: 23708.00

AX: -0.64, AY: 0.54, AZ: -0.06, GX: -936.00, GY: 113.00, GZ: 23713.00

AX: -0.55, AY: 0.61, AZ: -0.06, GX: -943.00, GY: 114.00, GZ: 23709.00

AX: -0.43, AY: 0.66, AZ: -0.05, GX: -940.00, GY: 110.00, GZ: 23718.00

AX: -0.33, AY: 0.71, AZ: -0.06, GX: -939.00, GY: 113.00, GZ: 23721.00

AX: -0.20, AY: 0.73, AZ: -0.05, GX: -942.00, GY: 109.00, GZ: 23717.00

AX: -0.07, AY: 0.76, AZ: -0.05, GX: -936.00, GY: 111.00, GZ: 23721.00

AX: 0.04, AY: 0.76, AZ: -0.05, GX: -936.00, GY: 109.00, GZ: 23721.00

AX: 0.16, AY: 0.72, AZ: -0.04, GX: -938.00, GY: 114.00, GZ: 23723.00

AX: 0.32, AY: 0.70, AZ: -0.03, GX: -932.00, GY: 109.00, GZ: 23725.00

AX: 0.41, AY: 0.66, AZ: -0.03, GX: -933.00, GY: 111.00, GZ: 23718.00

AX: 0.53, AY: 0.58, AZ: -0.02, GX: -931.00, GY: 109.00, GZ: 23722.00

AX: 0.64, AY: 0.50, AZ: -0.02, GX: -938.00, GY: 118.00, GZ: 23722.00

AX: 0.73, AY: 0.43, AZ: -0.01, GX: -930.00, GY: 112.00, GZ: 23720.00

AX: 0.80, AY: 0.31, AZ: -0.01, GX: -934.00, GY: 111.00, GZ: 23707.00

AX: 0.86, AY: 0.21, AZ: -0.01, GX: -934.00, GY: 111.00, GZ: 23701.00

