AX: -0.87, AY: -0.66, AZ: -0.07, GX: -757.00, GY: 81.00, GZ: 17698.00

AX: -0.90, AY: -0.56, AZ: -0.05, GX: -750.00, GY: 75.00, GZ: 17697.00

AX: -0.96, AY: -0.49, AZ: -0.08, GX: -755.00, GY: 79.00, GZ: 17692.00

AX: -0.96, AY: -0.38, AZ: -0.06, GX: -750.00, GY: 70.00, GZ: 17693.00

AX: -1.02, AY: -0.33, AZ: -0.08, GX: -759.00, GY: 85.00, GZ: 17688.00

AX: -0.98, AY: -0.19, AZ: -0.05, GX: -747.00, GY: 66.00, GZ: 17687.00

AX: -1.04, AY: -0.13, AZ: -0.08, GX: -759.00, GY: 82.00, GZ: 17683.00

AX: -0.96, AY: -0.01, AZ: -0.05, GX: -750.00, GY: 61.00, GZ: 17684.00

AX: -1.03, AY: 0.06, AZ: -0.09, GX: -757.00, GY: 87.00, GZ: 17689.00

AX: -0.91, AY: 0.17, AZ: -0.06, GX: -754.00, GY: 66.00, GZ: 17681.00

AX: -0.97, AY: 0.25, AZ: -0.08, GX: -755.00, GY: 82.00, GZ: 17687.00

AX: -0.84, AY: 0.33, AZ: -0.06, GX: -750.00, GY: 68.00, GZ: 17692.00

AX: -0.87, AY: 0.42, AZ: -0.07, GX: -754.00, GY: 80.00, GZ: 17683.00

AX: -0.77, AY: 0.49, AZ: -0.07, GX: -751.00, GY: 71.00, GZ: 17689.00

AX: -0.72, AY: 0.56, AZ: -0.06, GX: -751.00, GY: 67.00, GZ: 17681.00

AX: -0.67, AY: 0.63, AZ: -0.08, GX: -751.00, GY: 82.00, GZ: 17685.00

AX: -0.55, AY: 0.67, AZ: -0.05, GX: -757.00, GY: 65.00, GZ: 17680.00

AX: -0.53, AY: 0.76, AZ: -0.08, GX: -744.00, GY: 78.00, GZ: 17676.00

AX: -0.38, AY: 0.75, AZ: -0.04, GX: -756.00, GY: 61.00, GZ: 17680.00

AX: -0.37, AY: 0.82, AZ: -0.07, GX: -743.00, GY: 79.00, GZ: 17692.00

AX: -0.21, AY: 0.81, AZ: -0.05, GX: -757.00, GY: 69.00, GZ: 17686.00

AX: -0.17, AY: 0.87, AZ: -0.05, GX: -744.00, GY: 76.00, GZ: 17688.00

AX: -0.03, AY: 0.85, AZ: -0.05, GX: -753.00, GY: 72.00, GZ: 17692.00

AX: 0.03, AY: 0.87, AZ: -0.04, GX: -745.00, GY: 72.00, GZ: 17690.00

AX: 0.13, AY: 0.84, AZ: -0.04, GX: -753.00, GY: 71.00, GZ: 17689.00

AX: 0.22, AY: 0.81, AZ: -0.03, GX: -752.00, GY: 74.00, GZ: 17690.00

AX: 0.33, AY: 0.82, AZ: -0.03, GX: -747.00, GY: 75.00, GZ: 17696.00

AX: 0.41, AY: 0.75, AZ: -0.03, GX: -745.00, GY: 68.00, GZ: 17699.00

AX: 0.48, AY: 0.74, AZ: -0.03, GX: -750.00, GY: 70.00, GZ: 17689.00

AX: 0.57, AY: 0.65, AZ: -0.03, GX: -750.00, GY: 74.00, GZ: 17696.00

AX: 0.64, AY: 0.62, AZ: -0.02, GX: -745.00, GY: 72.00, GZ: 17698.00

AX: 0.71, AY: 0.52, AZ: -0.02, GX: -753.00, GY: 75.00, GZ: 17691.00

AX: 0.78, AY: 0.49, AZ: -0.02, GX: -746.00, GY: 68.00, GZ: 17687.00

AX: 0.82, AY: 0.38, AZ: -0.02, GX: -743.00, GY: 76.00, GZ: 17690.00

AX: 0.89, AY: 0.32, AZ: -0.03, GX: -747.00, GY: 68.00, GZ: 17682.00

AX: 0.90, AY: 0.21, AZ: -0.02, GX: -753.00, GY: 78.00, GZ: 17688.00

AX: 0.97, AY: 0.15, AZ: -0.02, GX: -740.00, GY: 67.00, GZ: 17686.00

AX: 0.94, AY: 0.04, AZ: -0.01, GX: -750.00, GY: 80.00, GZ: 17681.00

AX: 1.02, AY: -0.04, AZ: -0.02, GX: -746.00, GY: 61.00, GZ: 17682.00

AX: 0.95, AY: -0.13, AZ: -0.01, GX: -747.00, GY: 84.00, GZ: 17681.00

AX: 1.03, AY: -0.24, AZ: -0.01, GX: -751.00, GY: 63.00, GZ: 17678.00

AX: 0.93, AY: -0.32, AZ: -0.00, GX: -743.00, GY: 82.00, GZ: 17683.00

AX: 1.01, AY: -0.43, AZ: -0.01, GX: -756.00, GY: 68.00, GZ: 17684.00

AX: 0.89, AY: -0.50, AZ: 0.00, GX: -741.00, GY: 75.00, GZ: 17676.00

AX: 0.91, AY: -0.59, AZ: -0.01, GX: -747.00, GY: 74.00, GZ: 17682.00

AX: 0.84, AY: -0.68, AZ: -0.02, GX: -748.00, GY: 67.00, GZ: 17675.00

AX: 0.79, AY: -0.74, AZ: 0.00, GX: -749.00, GY: 85.00, GZ: 17680.00

AX: 0.76, AY: -0.84, AZ: -0.03, GX: -753.00, GY: 67.00, GZ: 17674.00

AX: 0.64, AY: -0.86, AZ: 0.00, GX: -734.00, GY: 82.00, GZ: 17682.00

AX: 0.63, AY: -0.95, AZ: -0.02, GX: -755.00, GY: 70.00, GZ: 17679.00

AX: 0.50, AY: -1.00, AZ: -0.02, GX: -746.00, GY: 81.00, GZ: 17680.00

AX: 0.47, AY: -1.05, AZ: -0.02, GX: -756.00, GY: 73.00, GZ: 17681.00

AX: 0.33, AY: -1.08, AZ: -0.03, GX: -749.00, GY: 77.00, GZ: 17677.00

AX: 0.28, AY: -1.09, AZ: -0.01, GX: -743.00, GY: 77.00, GZ: 17679.00

AX: 0.17, AY: -1.15, AZ: -0.04, GX: -755.00, GY: 77.00, GZ: 17681.00

AX: 0.04, AY: -1.12, AZ: -0.02, GX: -747.00, GY: 82.00, GZ: 17692.00

AX: -0.02, AY: -1.17, AZ: -0.04, GX: -756.00, GY: 76.00, GZ: 17685.00

AX: -0.14, AY: -1.09, AZ: -0.03, GX: -738.00, GY: 78.00, GZ: 17690.00

AX: -0.21, AY: -1.14, AZ: -0.04, GX: -758.00, GY: 77.00, GZ: 17692.00

AX: -0.31, AY: -1.07, AZ: -0.03, GX: -740.00, GY: 79.00, GZ: 17691.00

AX: -0.40, AY: -1.09, AZ: -0.04, GX: -761.00, GY: 83.00, GZ: 17686.00

AX: -0.47, AY: -1.02, AZ: -0.06, GX: -744.00, GY: 73.00, GZ: 17693.00

AX: -0.58, AY: -0.96, AZ: -0.05, GX: -749.00, GY: 83.00, GZ: 17697.00

AX: -0.62, AY: -0.93, AZ: -0.06, GX: -752.00, GY: 79.00, GZ: 17691.00

AX: -0.71, AY: -0.83, AZ: -0.04, GX: -746.00, GY: 79.00, GZ: 17691.00

AX: -0.76, AY: -0.82, AZ: -0.07, GX: -762.00, GY: 75.00, GZ: 17686.00

AX: -0.84, AY: -0.68, AZ: -0.05, GX: -742.00, GY: 76.00, GZ: 17689.00

AX: -0.88, AY: -0.67, AZ: -0.08, GX: -761.00, GY: 85.00, GZ: 17689.00

AX: -0.91, AY: -0.52, AZ: -0.06, GX: -743.00, GY: 74.00, GZ: 17680.00

AX: -0.96, AY: -0.49, AZ: -0.07, GX: -762.00, GY: 79.00, GZ: 17674.00

AX: -0.96, AY: -0.33, AZ: -0.06, GX: -743.00, GY: 71.00, GZ: 17683.00

AX: -1.03, AY: -0.31, AZ: -0.08, GX: -765.00, GY: 85.00, GZ: 17685.00

AX: -0.98, AY: -0.16, AZ: -0.06, GX: -746.00, GY: 68.00, GZ: 17679.00

AX: -1.03, AY: -0.11, AZ: -0.08, GX: -763.00, GY: 84.00, GZ: 17685.00

AX: -0.97, AY: 0.02, AZ: -0.07, GX: -742.00, GY: 72.00, GZ: 17689.00

AX: -1.00, AY: 0.08, AZ: -0.07, GX: -758.00, GY: 79.00, GZ: 17683.00

AX: -0.93, AY: 0.19, AZ: -0.07, GX: -749.00, GY: 75.00, GZ: 17685.00

