AX: -0.51, AY: -2.38, AZ: -0.04, GX: -1978.00, GY: 382.00, GZ: 32767.00

AX: -0.76, AY: -2.14, AZ: -0.06, GX: -1980.00, GY: 381.00, GZ: 32767.00

AX: -0.93, AY: -1.87, AZ: -0.06, GX: -1986.00, GY: 378.00, GZ: 32767.00

AX: -1.01, AY: -1.56, AZ: -0.07, GX: -1985.00, GY: 371.00, GZ: 32767.00

AX: -0.97, AY: -1.24, AZ: -0.06, GX: -1980.00, GY: 375.00, GZ: 32767.00

AX: -0.86, AY: -0.98, AZ: -0.06, GX: -1984.00, GY: 376.00, GZ: 32767.00

AX: -0.71, AY: -0.74, AZ: -0.06, GX: -1991.00, GY: 375.00, GZ: 32767.00

AX: -0.46, AY: -0.59, AZ: -0.05, GX: -1984.00, GY: 365.00, GZ: 32767.00

AX: -0.16, AY: -0.51, AZ: -0.04, GX: -1985.00, GY: 361.00, GZ: 32767.00

AX: 0.15, AY: -0.55, AZ: -0.03, GX: -1985.00, GY: 362.00, GZ: 32767.00

AX: 0.47, AY: -0.66, AZ: -0.02, GX: -1982.00, GY: 356.00, GZ: 32767.00

AX: 0.73, AY: -0.86, AZ: -0.01, GX: -1974.00, GY: 365.00, GZ: 32767.00

AX: 0.88, AY: -1.12, AZ: -0.01, GX: -1967.00, GY: 362.00, GZ: 32767.00

AX: 0.97, AY: -1.42, AZ: -0.01, GX: -1973.00, GY: 365.00, GZ: 32767.00

AX: 0.98, AY: -1.73, AZ: 0.01, GX: -1976.00, GY: 363.00, GZ: 32767.00

AX: 0.89, AY: -2.00, AZ: -0.00, GX: -1965.00, GY: 371.00, GZ: 32767.00

AX: 0.71, AY: -2.25, AZ: -0.04, GX: -1965.00, GY: 375.00, GZ: 32767.00

AX: 0.42, AY: -2.42, AZ: -0.04, GX: -1970.00, GY: 379.00, GZ: 32767.00

AX: 0.14, AY: -2.52, AZ: -0.01, GX: -1981.00, GY: 380.00, GZ: 32767.00

AX: -0.17, AY: -2.49, AZ: -0.02, GX: -1980.00, GY: 382.00, GZ: 32767.00

AX: -0.48, AY: -2.37, AZ: -0.04, GX: -1982.00, GY: 379.00, GZ: 32767.00

AX: -0.72, AY: -2.18, AZ: -0.05, GX: -1979.00, GY: 376.00, GZ: 32767.00

AX: -0.88, AY: -1.92, AZ: -0.05, GX: -1988.00, GY: 371.00, GZ: 32767.00

AX: -0.97, AY: -1.62, AZ: -0.06, GX: -1982.00, GY: 376.00, GZ: 32767.00

AX: -1.00, AY: -1.30, AZ: -0.05, GX: -1980.00, GY: 376.00, GZ: 32767.00

AX: -0.94, AY: -1.03, AZ: -0.06, GX: -1993.00, GY: 371.00, GZ: 32767.00

AX: -0.76, AY: -0.77, AZ: -0.05, GX: -1990.00, GY: 368.00, GZ: 32767.00

AX: -0.47, AY: -0.60, AZ: -0.05, GX: -1979.00, GY: 360.00, GZ: 32767.00

AX: -0.18, AY: -0.51, AZ: -0.05, GX: -1981.00, GY: 358.00, GZ: 32767.00

AX: 0.14, AY: -0.52, AZ: -0.02, GX: -1980.00, GY: 358.00, GZ: 32767.00

AX: 0.43, AY: -0.62, AZ: -0.01, GX: -1979.00, GY: 359.00, GZ: 32767.00

AX: 0.67, AY: -0.81, AZ: -0.01, GX: -1970.00, GY: 368.00, GZ: 32767.00

AX: 0.86, AY: -1.07, AZ: -0.01, GX: -1969.00, GY: 362.00, GZ: 32767.00

AX: 0.98, AY: -1.37, AZ: -0.01, GX: -1972.00, GY: 365.00, GZ: 32767.00

AX: 1.01, AY: -1.68, AZ: 0.01, GX: -1973.00, GY: 365.00, GZ: 32767.00

AX: 0.88, AY: -1.96, AZ: 0.01, GX: -1958.00, GY: 373.00, GZ: 32767.00

AX: 0.71, AY: -2.24, AZ: -0.03, GX: -1968.00, GY: 377.00, GZ: 32767.00

AX: 0.43, AY: -2.42, AZ: -0.04, GX: -1980.00, GY: 378.00, GZ: 32767.00

AX: 0.12, AY: -2.50, AZ: -0.02, GX: -1983.00, GY: 379.00, GZ: 32767.00

AX: -0.18, AY: -2.49, AZ: -0.02, GX: -1978.00, GY: 384.00, GZ: 32767.00

AX: -0.49, AY: -2.39, AZ: -0.04, GX: -1977.00, GY: 380.00, GZ: 32767.00

AX: -0.72, AY: -2.22, AZ: -0.05, GX: -1981.00, GY: 376.00, GZ: 32767.00

AX: -0.90, AY: -1.95, AZ: -0.05, GX: -1985.00, GY: 378.00, GZ: 32767.00

AX: -0.98, AY: -1.67, AZ: -0.06, GX: -1984.00, GY: 371.00, GZ: 32767.00

AX: -0.99, AY: -1.36, AZ: -0.06, GX: -1985.00, GY: 377.00, GZ: 32767.00

AX: -0.92, AY: -1.05, AZ: -0.05, GX: -1991.00, GY: 369.00, GZ: 32767.00

AX: -0.75, AY: -0.79, AZ: -0.05, GX: -1984.00, GY: 366.00, GZ: 32767.00

AX: -0.48, AY: -0.62, AZ: -0.05, GX: -1980.00, GY: 361.00, GZ: 32767.00

AX: -0.18, AY: -0.54, AZ: -0.04, GX: -1980.00, GY: 360.00, GZ: 32767.00

AX: 0.14, AY: -0.52, AZ: -0.03, GX: -1977.00, GY: 364.00, GZ: 32767.00

AX: 0.45, AY: -0.61, AZ: -0.03, GX: -1974.00, GY: 363.00, GZ: 32767.00

AX: 0.68, AY: -0.78, AZ: -0.02, GX: -1966.00, GY: 367.00, GZ: 32767.00

AX: 0.87, AY: -1.05, AZ: -0.01, GX: -1975.00, GY: 358.00, GZ: 32767.00

AX: 0.97, AY: -1.32, AZ: -0.01, GX: -1974.00, GY: 365.00, GZ: 32767.00

AX: 1.01, AY: -1.64, AZ: -0.01, GX: -1973.00, GY: 368.00, GZ: 32767.00

AX: 0.90, AY: -1.94, AZ: -0.02, GX: -1968.00, GY: 378.00, GZ: 32767.00

AX: 0.70, AY: -2.22, AZ: -0.02, GX: -1981.00, GY: 380.00, GZ: 32767.00

AX: 0.46, AY: -2.38, AZ: -0.00, GX: -1984.00, GY: 377.00, GZ: 32767.00

AX: 0.17, AY: -2.48, AZ: 0.01, GX: -1977.00, GY: 378.00, GZ: 32767.00

