AX: -0.05, AY: 0.61, AZ: -0.05, GX: -1123.00, GY: 153.00, GZ: 29688.00

AX: 0.01, AY: 0.60, AZ: -0.04, GX: -1125.00, GY: 157.00, GZ: 29698.00

AX: 0.24, AY: 0.58, AZ: -0.03, GX: -1120.00, GY: 144.00, GZ: 29681.00

AX: 0.32, AY: 0.54, AZ: -0.03, GX: -1120.00, GY: 156.00, GZ: 29682.00

AX: 0.55, AY: 0.46, AZ: -0.03, GX: -1118.00, GY: 144.00, GZ: 29689.00

AX: 0.59, AY: 0.37, AZ: -0.01, GX: -1120.00, GY: 162.00, GZ: 29673.00

AX: 0.78, AY: 0.25, AZ: -0.02, GX: -1117.00, GY: 146.00, GZ: 29674.00

AX: 0.82, AY: 0.13, AZ: -0.01, GX: -1116.00, GY: 162.00, GZ: 29680.00

AX: 0.94, AY: -0.03, AZ: -0.02, GX: -1114.00, GY: 145.00, GZ: 29665.00

AX: 0.94, AY: -0.15, AZ: -0.01, GX: -1115.00, GY: 165.00, GZ: 29672.00

AX: 1.02, AY: -0.34, AZ: -0.01, GX: -1117.00, GY: 144.00, GZ: 29655.00

AX: 0.94, AY: -0.47, AZ: -0.00, GX: -1114.00, GY: 166.00, GZ: 29666.00

AX: 1.00, AY: -0.63, AZ: -0.01, GX: -1112.00, GY: 149.00, GZ: 29662.00

AX: 0.89, AY: -0.80, AZ: 0.00, GX: -1120.00, GY: 160.00, GZ: 29657.00

AX: 0.87, AY: -0.91, AZ: -0.00, GX: -1109.00, GY: 150.00, GZ: 29660.00

AX: 0.72, AY: -1.06, AZ: -0.01, GX: -1115.00, GY: 161.00, GZ: 29651.00

AX: 0.64, AY: -1.13, AZ: -0.00, GX: -1102.00, GY: 154.00, GZ: 29652.00

AX: 0.50, AY: -1.26, AZ: -0.02, GX: -1116.00, GY: 170.00, GZ: 29654.00

AX: 0.38, AY: -1.30, AZ: -0.01, GX: -1117.00, GY: 154.00, GZ: 29649.00

AX: 0.20, AY: -1.37, AZ: -0.02, GX: -1116.00, GY: 162.00, GZ: 29641.00

AX: 0.06, AY: -1.38, AZ: -0.02, GX: -1110.00, GY: 161.00, GZ: 29656.00

AX: -0.11, AY: -1.39, AZ: -0.05, GX: -1124.00, GY: 154.00, GZ: 29642.00

AX: -0.28, AY: -1.36, AZ: -0.04, GX: -1123.00, GY: 165.00, GZ: 29633.00

AX: -0.38, AY: -1.30, AZ: -0.03, GX: -1118.00, GY: 158.00, GZ: 29645.00

AX: -0.57, AY: -1.23, AZ: -0.07, GX: -1119.00, GY: 165.00, GZ: 29645.00

AX: -0.65, AY: -1.14, AZ: -0.04, GX: -1122.00, GY: 158.00, GZ: 29638.00

AX: -0.80, AY: -1.01, AZ: -0.05, GX: -1112.00, GY: 165.00, GZ: 29632.00

