AX: -0.98, AY: -3.81, AZ: 0.01, GX: -3006.00, GY: 746.00, GZ: 32767.00

AX: -0.53, AY: -3.47, AZ: -0.00, GX: -2977.00, GY: 747.00, GZ: 32767.00

AX: 0.02, AY: -3.43, AZ: -0.02, GX: -2968.00, GY: 714.00, GZ: 32767.00

AX: 0.48, AY: -3.65, AZ: -0.01, GX: -2974.00, GY: 710.00, GZ: 32767.00

AX: 0.79, AY: -4.07, AZ: -0.03, GX: -2985.00, GY: 724.00, GZ: 32767.00

AX: 0.82, AY: -4.56, AZ: 0.02, GX: -2983.00, GY: 743.00, GZ: 32767.00

AX: 0.61, AY: -5.02, AZ: 0.01, GX: -2977.00, GY: 769.00, GZ: 32767.00

AX: 0.23, AY: -5.30, AZ: 0.01, GX: -2965.00, GY: 760.00, GZ: 32767.00

AX: -0.29, AY: -5.37, AZ: -0.01, GX: -2964.00, GY: 742.00, GZ: 32767.00

AX: -0.79, AY: -5.18, AZ: -0.05, GX: -2982.00, GY: 736.00, GZ: 32767.00

AX: -1.10, AY: -4.77, AZ: -0.05, GX: -3000.00, GY: 738.00, GZ: 32767.00

AX: -1.17, AY: -4.25, AZ: -0.05, GX: -3010.00, GY: 751.00, GZ: 32767.00

AX: -0.88, AY: -3.72, AZ: -0.01, GX: -2997.00, GY: 754.00, GZ: 32767.00

AX: -0.43, AY: -3.44, AZ: -0.00, GX: -2979.00, GY: 734.00, GZ: 32767.00

AX: 0.12, AY: -3.42, AZ: -0.01, GX: -2967.00, GY: 715.00, GZ: 32767.00

AX: 0.55, AY: -3.71, AZ: -0.02, GX: -2978.00, GY: 713.00, GZ: 32767.00

AX: 0.81, AY: -4.16, AZ: -0.05, GX: -2984.00, GY: 724.00, GZ: 32767.00

AX: 0.78, AY: -4.68, AZ: -0.08, GX: -2985.00, GY: 755.00, GZ: 32767.00

AX: 0.54, AY: -5.13, AZ: -0.06, GX: -2974.00, GY: 767.00, GZ: 32767.00

AX: 0.13, AY: -5.37, AZ: -0.04, GX: -2958.00, GY: 752.00, GZ: 32767.00

AX: -0.40, AY: -5.38, AZ: 0.00, GX: -2971.00, GY: 744.00, GZ: 32767.00

AX: -0.88, AY: -5.10, AZ: 0.00, GX: -2985.00, GY: 733.00, GZ: 32767.00

AX: -1.13, AY: -4.65, AZ: 0.01, GX: -3008.00, GY: 744.00, GZ: 32767.00

AX: -1.13, AY: -4.12, AZ: 0.01, GX: -3013.00, GY: 753.00, GZ: 32767.00

AX: -0.82, AY: -3.57, AZ: -0.00, GX: -2989.00, GY: 754.00, GZ: 32767.00

AX: -0.29, AY: -3.40, AZ: -0.01, GX: -2974.00, GY: 729.00, GZ: 32767.00

AX: 0.22, AY: -3.52, AZ: 0.02, GX: -2959.00, GY: 707.00, GZ: 32767.00

AX: 0.64, AY: -3.90, AZ: 0.02, GX: -2982.00, GY: 716.00, GZ: 32767.00

AX: 0.83, AY: -4.39, AZ: 0.02, GX: -2985.00, GY: 732.00, GZ: 32767.00

AX: 0.75, AY: -4.87, AZ: -0.01, GX: -2981.00, GY: 760.00, GZ: 32767.00

AX: 0.48, AY: -5.23, AZ: -0.04, GX: -2971.00, GY: 764.00, GZ: 32767.00

AX: 0.02, AY: -5.40, AZ: -0.05, GX: -2962.00, GY: 744.00, GZ: 32767.00

AX: -0.52, AY: -5.27, AZ: -0.08, GX: -2973.00, GY: 743.00, GZ: 32767.00

AX: -0.93, AY: -4.94, AZ: -0.06, GX: -2990.00, GY: 739.00, GZ: 32767.00

AX: -1.18, AY: -4.45, AZ: -0.04, GX: -3011.00, GY: 740.00, GZ: 32767.00

AX: -1.08, AY: -3.90, AZ: -0.01, GX: -3007.00, GY: 759.00, GZ: 32767.00

AX: -0.72, AY: -3.52, AZ: 0.01, GX: -2986.00, GY: 740.00, GZ: 32767.00

AX: -0.19, AY: -3.39, AZ: -0.03, GX: -2973.00, GY: 728.00, GZ: 32767.00

AX: 0.31, AY: -3.58, AZ: -0.03, GX: -2970.00, GY: 712.00, GZ: 32767.00

AX: 0.69, AY: -3.97, AZ: -0.03, GX: -2981.00, GY: 714.00, GZ: 32767.00

AX: 0.83, AY: -4.47, AZ: -0.04, GX: -2984.00, GY: 742.00, GZ: 32767.00

AX: 0.71, AY: -4.96, AZ: -0.00, GX: -2980.00, GY: 762.00, GZ: 32767.00

AX: 0.40, AY: -5.28, AZ: 0.01, GX: -2965.00, GY: 760.00, GZ: 32767.00

AX: -0.08, AY: -5.43, AZ: 0.01, GX: -2964.00, GY: 747.00, GZ: 32767.00

AX: -0.63, AY: -5.26, AZ: -0.00, GX: -2969.00, GY: 734.00, GZ: 32767.00

AX: -1.00, AY: -4.85, AZ: -0.03, GX: -2996.00, GY: 738.00, GZ: 32767.00

AX: -1.17, AY: -4.32, AZ: -0.03, GX: -3012.00, GY: 747.00, GZ: 32767.00

