AX: 0.90, AY: -3.72, AZ: 0.01, GX: -2754.00, GY: 626.00, GZ: 32767.00

AX: 0.73, AY: -4.10, AZ: -0.00, GX: -2738.00, GY: 639.00, GZ: 32767.00

AX: 0.38, AY: -4.36, AZ: -0.00, GX: -2735.00, GY: 643.00, GZ: 32767.00

AX: -0.09, AY: -4.45, AZ: -0.04, GX: -2748.00, GY: 636.00, GZ: 32767.00

AX: -0.54, AY: -4.28, AZ: -0.02, GX: -2747.00, GY: 631.00, GZ: 32767.00

AX: -0.89, AY: -3.96, AZ: -0.03, GX: -2763.00, GY: 633.00, GZ: 32767.00

AX: -1.08, AY: -3.48, AZ: -0.06, GX: -2769.00, GY: 633.00, GZ: 32767.00

AX: -1.01, AY: -3.01, AZ: -0.04, GX: -2764.00, GY: 635.00, GZ: 32767.00

AX: -0.75, AY: -2.64, AZ: -0.03, GX: -2757.00, GY: 628.00, GZ: 32767.00

AX: -0.34, AY: -2.46, AZ: -0.04, GX: -2756.00, GY: 614.00, GZ: 32767.00

AX: 0.15, AY: -2.49, AZ: -0.04, GX: -2748.00, GY: 614.00, GZ: 32767.00

AX: 0.56, AY: -2.73, AZ: -0.00, GX: -2745.00, GY: 607.00, GZ: 32767.00

AX: 0.82, AY: -3.11, AZ: 0.01, GX: -2753.00, GY: 619.00, GZ: 32767.00

AX: 0.93, AY: -3.55, AZ: -0.02, GX: -2744.00, GY: 626.00, GZ: 32767.00

AX: 0.80, AY: -3.97, AZ: 0.00, GX: -2744.00, GY: 637.00, GZ: 32767.00

AX: 0.52, AY: -4.30, AZ: -0.01, GX: -2738.00, GY: 637.00, GZ: 32767.00

AX: 0.09, AY: -4.43, AZ: -0.00, GX: -2731.00, GY: 639.00, GZ: 32767.00

AX: -0.39, AY: -4.36, AZ: -0.05, GX: -2748.00, GY: 638.00, GZ: 32767.00

AX: -0.78, AY: -4.09, AZ: -0.05, GX: -2761.00, GY: 630.00, GZ: 32767.00

AX: -1.04, AY: -3.65, AZ: -0.01, GX: -2764.00, GY: 643.00, GZ: 32767.00

AX: -1.07, AY: -3.18, AZ: -0.05, GX: -2768.00, GY: 627.00, GZ: 32767.00

AX: -0.87, AY: -2.73, AZ: -0.06, GX: -2755.00, GY: 636.00, GZ: 32767.00

AX: -0.47, AY: -2.51, AZ: -0.01, GX: -2753.00, GY: 620.00, GZ: 32767.00

AX: -0.04, AY: -2.46, AZ: -0.02, GX: -2747.00, GY: 613.00, GZ: 32767.00

AX: 0.42, AY: -2.63, AZ: -0.03, GX: -2746.00, GY: 615.00, GZ: 32767.00

AX: 0.77, AY: -2.96, AZ: -0.01, GX: -2749.00, GY: 612.00, GZ: 32767.00

AX: 0.91, AY: -3.41, AZ: 0.01, GX: -2751.00, GY: 624.00, GZ: 32767.00

AX: 0.87, AY: -3.83, AZ: -0.00, GX: -2738.00, GY: 637.00, GZ: 32767.00

AX: 0.62, AY: -4.20, AZ: -0.00, GX: -2740.00, GY: 637.00, GZ: 32767.00

AX: 0.24, AY: -4.43, AZ: -0.03, GX: -2743.00, GY: 635.00, GZ: 32767.00

AX: -0.22, AY: -4.40, AZ: -0.00, GX: -2735.00, GY: 634.00, GZ: 32767.00

AX: -0.66, AY: -4.21, AZ: -0.06, GX: -2761.00, GY: 632.00, GZ: 32767.00

AX: -0.97, AY: -3.81, AZ: -0.04, GX: -2763.00, GY: 633.00, GZ: 32767.00

AX: -1.08, AY: -3.35, AZ: -0.03, GX: -2772.00, GY: 637.00, GZ: 32767.00

AX: -0.97, AY: -2.88, AZ: -0.06, GX: -2763.00, GY: 630.00, GZ: 32767.00

AX: -0.64, AY: -2.57, AZ: -0.03, GX: -2750.00, GY: 624.00, GZ: 32767.00

AX: -0.18, AY: -2.45, AZ: -0.02, GX: -2755.00, GY: 622.00, GZ: 32767.00

AX: 0.29, AY: -2.56, AZ: -0.02, GX: -2748.00, GY: 607.00, GZ: 32767.00

AX: 0.64, AY: -2.83, AZ: -0.03, GX: -2743.00, GY: 620.00, GZ: 32767.00

AX: 0.91, AY: -3.25, AZ: 0.00, GX: -2750.00, GY: 620.00, GZ: 32767.00

AX: 0.87, AY: -3.70, AZ: 0.01, GX: -2742.00, GY: 630.00, GZ: 32767.00

AX: 0.69, AY: -4.09, AZ: -0.01, GX: -2739.00, GY: 638.00, GZ: 32767.00

AX: 0.30, AY: -4.35, AZ: -0.02, GX: -2733.00, GY: 634.00, GZ: 32767.00

AX: -0.17, AY: -4.45, AZ: -0.03, GX: -2746.00, GY: 639.00, GZ: 32767.00

AX: -0.59, AY: -4.30, AZ: -0.00, GX: -2746.00, GY: 630.00, GZ: 32767.00

AX: -0.94, AY: -3.97, AZ: -0.06, GX: -2767.00, GY: 635.00, GZ: 32767.00

AX: -1.07, AY: -3.51, AZ: -0.06, GX: -2773.00, GY: 632.00, GZ: 32767.00

AX: -0.99, AY: -3.02, AZ: -0.03, GX: -2761.00, GY: 636.00, GZ: 32767.00

AX: -0.70, AY: -2.67, AZ: -0.03, GX: -2765.00, GY: 625.00, GZ: 32767.00

AX: -0.25, AY: -2.47, AZ: -0.04, GX: -2750.00, GY: 621.00, GZ: 32767.00

AX: 0.23, AY: -2.49, AZ: -0.02, GX: -2748.00, GY: 614.00, GZ: 32767.00

AX: 0.60, AY: -2.71, AZ: 0.01, GX: -2751.00, GY: 607.00, GZ: 32767.00

AX: 0.86, AY: -3.10, AZ: -0.00, GX: -2748.00, GY: 616.00, GZ: 32767.00

AX: 0.92, AY: -3.53, AZ: -0.00, GX: -2745.00, GY: 631.00, GZ: 32767.00

AX: 0.77, AY: -3.98, AZ: 0.00, GX: -2743.00, GY: 635.00, GZ: 32767.00

AX: 0.45, AY: -4.29, AZ: -0.00, GX: -2736.00, GY: 640.00, GZ: 32767.00

AX: 0.01, AY: -4.42, AZ: -0.02, GX: -2737.00, GY: 639.00, GZ: 32767.00

AX: -0.46, AY: -4.38, AZ: -0.04, GX: -2747.00, GY: 632.00, GZ: 32767.00

AX: -0.83, AY: -4.11, AZ: -0.02, GX: -2759.00, GY: 628.00, GZ: 32767.00

AX: -1.07, AY: -3.68, AZ: -0.05, GX: -2772.00, GY: 635.00, GZ: 32767.00

AX: -1.05, AY: -3.19, AZ: -0.07, GX: -2772.00, GY: 632.00, GZ: 32767.00

AX: -0.80, AY: -2.76, AZ: -0.02, GX: -2755.00, GY: 631.00, GZ: 32767.00

AX: -0.43, AY: -2.51, AZ: -0.03, GX: -2756.00, GY: 625.00, GZ: 32767.00

AX: 0.06, AY: -2.47, AZ: -0.04, GX: -2749.00, GY: 606.00, GZ: 32767.00

AX: 0.49, AY: -2.61, AZ: -0.03, GX: -2745.00, GY: 615.00, GZ: 32767.00

AX: 0.79, AY: -2.95, AZ: 0.01, GX: -2755.00, GY: 612.00, GZ: 32767.00

AX: 0.91, AY: -3.38, AZ: 0.01, GX: -2746.00, GY: 629.00, GZ: 32767.00

AX: 0.86, AY: -3.83, AZ: -0.01, GX: -2742.00, GY: 636.00, GZ: 32767.00

