AX: -0.36, AY: -1.23, AZ: -0.05, GX: -2316.00, GY: 467.00, GZ: 32767.00

AX: 0.02, AY: -1.21, AZ: -0.03, GX: -2311.00, GY: 461.00, GZ: 32767.00

AX: 0.38, AY: -1.32, AZ: -0.02, GX: -2306.00, GY: 458.00, GZ: 32767.00

AX: 0.70, AY: -1.56, AZ: -0.01, GX: -2313.00, GY: 460.00, GZ: 32767.00

AX: 0.90, AY: -1.87, AZ: -0.00, GX: -2306.00, GY: 468.00, GZ: 32767.00

AX: 0.98, AY: -2.25, AZ: 0.00, GX: -2305.00, GY: 471.00, GZ: 32767.00

AX: 0.92, AY: -2.62, AZ: -0.00, GX: -2310.00, GY: 469.00, GZ: 32767.00

AX: 0.71, AY: -2.92, AZ: -0.00, GX: -2305.00, GY: 476.00, GZ: 32767.00

AX: 0.43, AY: -3.13, AZ: -0.02, GX: -2308.00, GY: 479.00, GZ: 32767.00

AX: 0.07, AY: -3.20, AZ: -0.02, GX: -2309.00, GY: 481.00, GZ: 32767.00

AX: -0.30, AY: -3.15, AZ: -0.03, GX: -2312.00, GY: 475.00, GZ: 32767.00

AX: -0.63, AY: -2.95, AZ: -0.03, GX: -2313.00, GY: 480.00, GZ: 32767.00

AX: -0.87, AY: -2.66, AZ: -0.05, GX: -2320.00, GY: 476.00, GZ: 32767.00

AX: -1.01, AY: -2.29, AZ: -0.06, GX: -2318.00, GY: 473.00, GZ: 32767.00

AX: -1.00, AY: -1.91, AZ: -0.06, GX: -2324.00, GY: 473.00, GZ: 32767.00

AX: -0.85, AY: -1.60, AZ: -0.05, GX: -2324.00, GY: 474.00, GZ: 32767.00

AX: -0.59, AY: -1.34, AZ: -0.05, GX: -2321.00, GY: 470.00, GZ: 32767.00

AX: -0.25, AY: -1.22, AZ: -0.03, GX: -2321.00, GY: 464.00, GZ: 32767.00

AX: 0.13, AY: -1.23, AZ: -0.03, GX: -2314.00, GY: 460.00, GZ: 32767.00

AX: 0.49, AY: -1.38, AZ: -0.02, GX: -2314.00, GY: 457.00, GZ: 32767.00

AX: 0.76, AY: -1.65, AZ: -0.01, GX: -2310.00, GY: 458.00, GZ: 32767.00

AX: 0.92, AY: -1.99, AZ: 0.00, GX: -2304.00, GY: 466.00, GZ: 32767.00

AX: 0.96, AY: -2.37, AZ: -0.01, GX: -2308.00, GY: 464.00, GZ: 32767.00

AX: 0.86, AY: -2.70, AZ: -0.01, GX: -2303.00, GY: 477.00, GZ: 32767.00

AX: 0.66, AY: -3.00, AZ: -0.00, GX: -2306.00, GY: 480.00, GZ: 32767.00

AX: 0.32, AY: -3.16, AZ: -0.02, GX: -2304.00, GY: 481.00, GZ: 32767.00

AX: -0.04, AY: -3.19, AZ: -0.03, GX: -2309.00, GY: 484.00, GZ: 32767.00

AX: -0.40, AY: -3.09, AZ: -0.04, GX: -2314.00, GY: 477.00, GZ: 32767.00

