AX: -0.99, AY: -4.38, AZ: -0.04, GX: -2878.00, GY: 686.00, GZ: 32767.00

AX: -1.10, AY: -3.90, AZ: -0.03, GX: -2887.00, GY: 691.00, GZ: 32767.00

AX: -1.02, AY: -3.41, AZ: -0.04, GX: -2887.00, GY: 695.00, GZ: 32767.00

AX: -0.72, AY: -3.05, AZ: -0.04, GX: -2878.00, GY: 683.00, GZ: 32767.00

AX: -0.12, AY: -2.90, AZ: -0.03, GX: -2864.00, GY: 671.00, GZ: 32767.00

AX: 0.35, AY: -3.03, AZ: -0.02, GX: -2859.00, GY: 661.00, GZ: 32767.00

AX: 0.72, AY: -3.35, AZ: -0.02, GX: -2860.00, GY: 670.00, GZ: 32767.00

AX: 0.89, AY: -3.82, AZ: -0.02, GX: -2862.00, GY: 677.00, GZ: 32767.00

AX: 0.81, AY: -4.29, AZ: -0.02, GX: -2861.00, GY: 693.00, GZ: 32767.00

AX: 0.53, AY: -4.67, AZ: -0.02, GX: -2861.00, GY: 698.00, GZ: 32767.00

AX: 0.09, AY: -4.88, AZ: -0.03, GX: -2851.00, GY: 695.00, GZ: 32767.00

AX: -0.40, AY: -4.85, AZ: -0.03, GX: -2858.00, GY: 696.00, GZ: 32767.00

AX: -0.84, AY: -4.59, AZ: -0.05, GX: -2869.00, GY: 688.00, GZ: 32767.00

AX: -1.08, AY: -4.17, AZ: -0.03, GX: -2886.00, GY: 692.00, GZ: 32767.00

AX: -1.10, AY: -3.67, AZ: -0.04, GX: -2895.00, GY: 690.00, GZ: 32767.00

AX: -0.83, AY: -3.21, AZ: -0.03, GX: -2881.00, GY: 692.00, GZ: 32767.00

AX: -0.40, AY: -2.94, AZ: -0.02, GX: -2864.00, GY: 678.00, GZ: 32767.00

AX: 0.12, AY: -2.92, AZ: -0.02, GX: -2861.00, GY: 667.00, GZ: 32767.00

AX: 0.53, AY: -3.14, AZ: 0.00, GX: -2859.00, GY: 665.00, GZ: 32767.00

AX: 0.84, AY: -3.54, AZ: -0.01, GX: -2859.00, GY: 674.00, GZ: 32767.00

AX: 0.87, AY: -4.03, AZ: 0.01, GX: -2862.00, GY: 688.00, GZ: 32767.00

AX: 0.71, AY: -4.48, AZ: -0.02, GX: -2861.00, GY: 698.00, GZ: 32767.00

AX: 0.34, AY: -4.78, AZ: -0.02, GX: -2847.00, GY: 694.00, GZ: 32767.00

AX: -0.14, AY: -4.92, AZ: -0.04, GX: -2860.00, GY: 695.00, GZ: 32767.00

AX: -0.61, AY: -4.78, AZ: -0.04, GX: -2862.00, GY: 692.00, GZ: 32767.00

AX: -0.98, AY: -4.44, AZ: -0.06, GX: -2880.00, GY: 687.00, GZ: 32767.00

